Frequency [Hz];Amplitude ratio;Phase shift [deg]
3006;1.5186923750279813;-171.4245961788428
3011;1.511523178121851;-171.4771097449945
3016;1.5044361606021641;-171.5291754909178
3021;1.497430061452975;-171.5808007555802
3026;1.4905036455192098;-171.63199272689505
3031;1.4836557028584125;-171.682758445602
3036;1.4768850481117033;-171.73310480903007
3041;1.4701905198932887;-171.78303857474666
3046;1.463570980197884;-171.8325663640967
3051;1.45702531382546;-171.8816946656362
3056;1.4505524278227178;-171.93042983846297
3061;1.4441512509407584;-171.9787781154491
3066;1.437820733108387;-172.02674560637746
3071;1.4315598449205287;-172.07433830098645
3076;1.4253675771413064;-172.12156207192547
3081;1.4192429402212245;-172.16842267762453
3086;1.4131849638280665;-172.21492576508055
3091;1.4071926963910184;-172.26107687256354
3096;1.4012652046576113;-172.30688143224464
3101;1.39540157326306;-172.35234477274972
3106;1.3896009043115876;-172.3974721216397
3111;1.3838623169693942;-172.44226860782098
3116;1.3781849470688443;-172.48673926388798
3121;1.372567946723556;-172.53088902839963
3126;1.3670104839540327;-172.57472274809265
3131;1.361511742323513;-172.61824518003286
3136;1.3560709205836958;-172.66146099370755
3141;1.3506872323300798;-172.70437477305936
3146;1.345359905666559;-172.746991018465
3151;1.3400881828790319;-172.78931414865986
3156;1.3348713201177362;-172.83134850260979
3161;1.3297085870880252;-172.87309834133274
3166;1.3245992667493462;-172.91456784967107
3171;1.3195426550221607;-172.95576113801627
3176;1.3145380605025745;-172.99668224398755
3181;1.3095848041844338;-173.0373351340658
3186;1.3046822191886682;-173.07772370518455
3191;1.2998296504996651;-173.11785178627832
3196;1.2950264547084598;-173.15772313979096
3201;1.2902719997625487;-173.19734146314406
3206;1.2855656647221152;-173.23671039016742
3211;1.2809068395224819;-173.27583349249227
3216;1.2762949247426374;-173.31471428090853
3221;1.2717293313795959;-173.3533562066873
3226;1.2672094806284786;-173.39176266286913
3231;1.2627348036681323;-173.42993698552
3236;1.2583047414520994;-173.46788245495486
3241;1.2539187445048352;-173.50560229693056
3246;1.2495762727229691;-173.5430996838086
3251;1.2452767951815016;-173.58037773568887
3256;1.241019789944781;-173.61743952151483
3261;1.236804743882135;-173.65428806015134
3266;1.232631152488004;-173.690926321436
3271;1.2284985197064673;-173.72735722720418
3276;1.2244063577600504;-173.76358365228907
3281;1.2203541869826595;-173.79960842549724
3286;1.2163415356565486;-173.83543433056042
3291;1.2123679398532172;-173.8710641070643
3296;1.2084329432781045;-173.9065004513546
3301;1.2045360971189996;-173.9417460174215
3306;1.2006769598980453;-173.97680341776314
3311;1.1968550973272634;-174.01167522422782
3316;1.1930700821674618;-174.04636396883677
3321;1.1893214940904882;-174.08087214458737
3326;1.1856089195446964;-174.115202206237
3331;1.1819319516235443;-174.14935657106892
3336;1.1782901899372662;-174.18333761964007
3341;1.1746832404875183;-174.21714769651115
3346;1.171110715544889;-174.25078911096045
3351;1.1675722335292698;-174.28426413768045
3356;1.1640674188929432;-174.31757501745855
3361;1.1605959020063443;-174.35072395784255
